"warriors","3583"
"nbafinals2015","3188"
"rt","840"
"http","657"
"cavs","576"
"nbafinals","497"
"game","484"
"dubnation","403"
"go","369"
"nba","329"
"curry","313"
"warriorsvcavs","250"
"win","240"
"let","233"
"tonight","227"
"lebron","218"
"cavaliers","189"
"https","169"
"stephcurry","156"
"gsw","142"
"5","120"
"andre","111"
"series","111"
"cavswarriors","109"
"stephencurry30","109"
"finals","106"
"cleveland","105"
"strengthinnumbers","97"
"got","95"
"lets","95"
"like","94"
"lebronjames","93"
"one","89"
"4","85"
"golden","84"
"na","84"
"goldenstatewarriors","84"
"get","81"
"game5","78"
"time","76"
"de","74"
"iguodala","74"
"great","74"
"home","73"
"ca","69"
"team","68"
"good","68"
"game4","66"
"gt","66"
"state","66"
"steph","65"
"cavsnation","63"
"gon","61"
"amp","59"
"vs","59"
"tv","57"
"sapphirelv","57"
"3","57"
"back","57"
"la","57"
"mvp","56"
"come","54"
"points","53"
"dubs","53"
"going","51"
"fav","51"
"games","50"
"cle","49"
"tie","49"
"flashed","48"
"7","48"
"play","48"
"see","48"
"penis","48"
"lebronspenis","48"
"goldenstate","48"
"lead","48"
"watch","47"
"2","47"
"iggy","46"
"think","46"
"take","44"
"icecoldaj","43"
"getting","42"
"el","41"
"playing","41"
"best","40"
"way","40"
"lt","40"
"need","40"
"fans","40"
"yall","38"
"said","37"
"shot","37"
"watching","37"
"sportstaxman","36"
"right","35"
"1","35"
"alewismusic","35"
"que","35"
"kingjames","35"
"warriornation","34"
"love","34"
"behind","33"
"oakland","33"
"en","32"
"jackson","32"
"mark","32"
"6","32"
"ellonasantiago","32"
"want","31"
"delly","31"
"stephen","31"
"made","31"
"night","30"
"vegas","30"
"retweet","30"
"look","29"
"tied","29"
"rsvp","29"
"basketball","28"
"half","28"
"letsgowarriors","28"
"e40","27"
"far","27"
"court","27"
"last","27"
"baby","27"
"los","27"
"keep","26"
"gswvscavs","26"
"heard","26"
"james","26"
"day","26"
"2015nbafinals","25"
"dance","25"
"serie","25"
"igoudala","25"
"y","25"
"bruceblitz","25"
"would","24"
"vaughngotit","24"
"better","24"
"splash","24"
"fire","24"
"came","23"
"wait","23"
"nbaespn","23"
"warriorsground","23"
"22","23"
"big","23"
"dellavedova","23"
"refs","23"
"bad","22"
"imvisdalester","22"
"finally","22"
"man","22"
"start","22"
"stephencurry","22"
"boys","22"
"winning","22"
"bench","22"
"know","22"
"bs1","21"
"today","21"
"chefcurry","21"
"lol","21"
"nbajp","21"
"looks","21"
"congrats","21"
"well","21"
"lbj","20"
"da","20"
"player","20"
"yes","20"
"first","20"
"done","20"
"wowownba","20"
"chef","19"
"wins","19"
"green","19"
"shots","19"
"much","19"
"make","19"
"gana","19"
"splashbrothers","19"
"even","18"
"usher","18"
"kerr","18"
"evened","18"
"espn","18"
"damn","18"
"ready","18"
"nice","18"
"gs","18"
"tax","18"
"40","18"
"mozgov","17"
"game6","17"
"life","17"
"happy","17"
"playoffs","17"
"guys","17"
"quarter","17"
"looking","17"
"final","17"
"clevsgsw","17"
"god","16"
"hammer","16"
"game2","16"
"making","16"
"awesome","16"
"amazing","16"
"say","16"
"show","16"
"por","16"
"partido","16"
"nbaplayoffs","16"
"pts","16"
"juego","16"
"won","16"
"run","16"
"wit","16"
"hope","16"
"ball","16"
"allincle","15"
"excellent","15"
"matter","15"
"away","15"
"game3","15"
"aiausa","15"
"post","15"
"se","15"
"yeah","15"
"coming","15"
"season","15"
"lnpservices","15"
"small","15"
"always","15"
"hard","15"
"enough","15"
"barnes","15"
"bayarea","15"
"lo","15"
"4th","15"
"game1","15"
"top","14"
"tip","14"
"draymond","14"
"still","14"
"r","14"
"bron","14"
"u","14"
"gowarriors","14"
"20","14"
"including","14"
"forward","14"
"beat","14"
"lose","14"
"hair","14"
"new","13"
"mc","13"
"another","13"
"approximately","13"
"showed","13"
"played","13"
"es","13"
"ya","13"
"finish","13"
"oh","13"
"al","13"
"klaythompson","13"
"really","13"
"put","13"
"w","13"
"para","13"
"bogut","13"
"lee","13"
"bring","13"
"happens","13"
"100","12"
"work","12"
"office","12"
"metallica","12"
"old","12"
"sure","12"
"rileycurry","12"
"shit","12"
"boy","12"
"fuck","12"
"10","12"
"san","12"
"world","12"
"ta","12"
"vamos","12"
"next","12"
"could","12"
"david","12"
"point","12"
"must","11"
"give","11"
"end","11"
"cavsvswarriors","11"
"fin","11"
"blue","11"
"players","11"
"jose","11"
"call","11"
"gswarriors","11"
"1st","11"
"loving","11"
"hazelebaby","11"
"championship","11"
"starting","11"
"impact","11"
"wow","11"
"di","11"
"mchammer","11"
"us","11"
"30","11"
"andreiguodala","11"
"taking","11"
"minutes","11"
"year","11"
"never","10"
"dandibley","10"
"51","10"
"3of14","10"
"mi","10"
"cuarto","10"
"warriorsvscavs","10"
"may","10"
"midnight","10"
"nod","10"
"ok","10"
"talks","10"
"te","10"
"states","10"
"okay","10"
"members","10"
"believe","10"
"anthem","10"
"find","10"
"close","10"
"flyallogy","10"
"simply","10"
"rocking","10"
"pace","10"
"un","10"
"stephgonnasteph","10"
"mteuzi","10"
"winner","10"
"national","10"
"camino","10"
"panalo","10"
"roberthalf","10"
"tired","9"
"ever","9"
"thelma","9"
"already","9"
"explicación","9"
"hacer","9"
"kailangan","9"
"con","9"
"left","9"
"godubs","9"
"ang","9"
"manuod","9"
"rooting","9"
"real","9"
"around","9"
"energy","9"
"trying","9"
"two","9"
"del","9"
"help","9"
"ass","9"
"leading","9"
"double","9"
"hit","9"
"defense","9"
"please","9"
"probably","9"
"strategy","9"
"oraclearena","9"
"johnlundradio","9"
"info","9"
"control","9"
"looked","9"
"job","9"
"almost","9"
"104","8"
"preview","8"
"91","8"
"victory","8"
"mind","8"
"though","8"
"thanks","8"
"performance","8"
"cutaways","8"
"people","8"
"d","8"
"timofey","8"
