"mark","231"
"beat","231"
"lebronsdick","230"
"yall","230"
"e","229"
"conference","229"
"sportsbrackets0","228"
"match","228"
"draymond","227"
"shooting","227"
"ymdgento","226"
"commercial","226"
"fouls","226"
"espntemfinaisnba","225"
"espnnba","224"
"rileycurry","224"
"flagrant","224"
"loving","224"
"season","224"
"hair","223"
"run","222"
"effing","221"
"talking","221"
"nothing","221"
"step","220"
"splashbrothers","220"
"mj","220"
"gswarriors","217"
"oliviawilde","216"
"son","216"
"hey","216"
"yet","214"
"sunday","212"
"stephencurry","212"
"early","211"
"calling","211"
"long","210"
"showing","208"
"sorry","205"
"funny","205"
"enough","204"
"talk","204"
"10","204"
"gameofthronesfinale","203"
"oakland","203"
"slap","202"
"em","201"
"1st","201"
"bring","200"
"wan","200"
"defense","198"
"happy","198"
"public","198"
"yeah","197"
"una","197"
"thought","197"
"rooting","196"
"seconds","196"
"warrior","196"
"halftime","194"
"almost","194"
"les","192"
"per","192"
"su","192"
"saw","192"
"cav","190"
"find","190"
"matthewdelly","190"
"tired","189"
"overreact","188"
"taking","188"
"fucking","187"
"turn","186"
"klay","186"
"shoot","186"
"cameraman","186"
"believe","186"
"jordan","185"
"im","185"
"therealthood","185"
"heard","185"
"something","185"
"dirty","183"
"lost","183"
"camquarter88","183"
"gswvscle","183"
"40","183"
"fact","182"
"boys","182"
"haha","182"
"life","181"
"flop","181"
"ang","181"
"nbaonabc","181"
"warriorsground","180"
"fun","180"
"miss","180"
"line","179"
"says","179"
"ref","178"
"q","176"
"psycasacorazon","175"
"god","174"
"least","174"
"worst","173"
"floor","173"
"changed","173"
"finales","172"
"therealjrsmith","172"
"cuarto","172"
"okay","171"
"thejairusaquino","171"
"hammer","171"
"2nd","171"
"actually","170"
"announcers","170"
"came","169"
"rest","169"
"hot","169"
"ver","168"
"twitter","168"
"care","167"
"est","165"
"pancakes","165"
"quick","165"
"d","164"
"pero","164"
"star","163"
"bout","163"
"al","163"
"di","163"
"performance","162"
"n","162"
"hate","162"
"throws","162"
"omg","161"
"más","161"
"officiating","161"
"mrdavidjohns","160"
"hurt","159"
"finish","159"
"2015","159"
"lot","159"
"lebrons","159"
"killing","157"
"whole","156"
"took","156"
"heart","156"
"bay","155"
"wish","154"
"around","153"
"everything","153"
"lifebleedsink","153"
"mean","152"
"glad","152"
"flopping","151"
